date,city,temperature_celsius,humidity_percent,precipitation_mm,weather_condition
2023-01-01,London,-2.2,61.4,1.3,Sunny
2023-01-02,London,-2.9,83.5,2.0,Cloudy
2023-01-03,London,-0.2,84.2,0.0,Rainy
2023-01-04,London,-0.0,70.7,0.0,Rainy
2023-01-05,London,-2.4,65.0,5.2,Rainy
2023-01-06,London,-4.1,72.5,0.0,Snowy
2023-01-07,London,-4.3,66.6,0.0,Snowy
2023-01-08,London,0.1,66.6,0.0,Snowy
2023-01-09,London,-2.2,62.6,1.9,Foggy
2023-01-10,London,-5.6,89.0,0.2,Snowy
2023-01-11,London,-1.5,70.8,3.4,Cloudy
2023-01-12,London,-8.9,63.7,0.0,Snowy
2023-01-13,London,-3.1,73.4,0.0,Foggy
2023-01-14,London,0.2,90.2,0.0,Cloudy
2023-01-15,London,-2.8,91.7,0.0,Overcast
2023-01-16,London,-1.5,89.8,3.9,Overcast
2023-01-17,London,-1.9,63.6,0.0,Foggy
2023-01-18,London,-8.1,94.5,0.0,Foggy
2023-01-19,London,-1.6,68.7,2.5,Overcast
2023-01-20,London,0.1,67.4,4.7,Rainy
2023-01-21,London,-6.6,73.9,9.2,Snowy
2023-01-22,London,-6.9,80.7,0.0,Overcast
2023-01-23,London,-7.2,65.7,2.8,Overcast
2023-01-24,London,-3.9,67.2,0.6,Rainy
2023-01-25,London,-5.1,75.3,4.7,Snowy
2023-01-26,London,-0.7,88.0,0.3,Foggy
2023-01-27,London,-4.5,86.3,9.8,Rainy
2023-01-28,London,-5.8,63.0,0.0,Foggy
2023-01-29,London,-4.9,89.7,9.1,Rainy
2023-01-30,London,-3.9,90.4,7.1,Snowy
2023-01-31,London,-2.6,66.7,0.0,Cloudy
2023-02-01,London,-2.8,86.5,4.6,Foggy
2023-02-02,London,-0.9,89.8,9.5,Heavy Rain
2023-02-03,London,-0.1,87.4,8.5,Heavy Rain
2023-02-04,London,-6.4,89.9,0.0,Rainy
2023-02-05,London,0.1,74.9,4.7,Cloudy
2023-02-06,London,-0.3,60.8,0.0,Overcast
2023-02-07,London,-0.3,72.5,0.0,Overcast
2023-02-08,London,0.4,85.9,0.0,Overcast
2023-02-09,London,-2.8,76.5,4.5,Rainy
2023-02-10,London,-0.2,79.4,6.7,Heavy Rain
2023-02-11,London,3.7,72.2,1.4,Overcast
2023-02-12,London,0.4,81.3,0.0,Snowy
2023-02-13,London,0.4,88.8,3.0,Overcast
2023-02-14,London,-4.5,73.1,4.2,Sunny
2023-02-15,London,-3.7,89.9,2.7,Foggy
